node1	label	node2
Q100948	P245	"500224955"
Q101771	P245	"500281177"
Q101791	P245	"500001235"
Q102139	P245	"500256782"
Q1024362	P245	"500302331"
Q1024426	P245	"500286871"
Q102711	P245	"500114625"
Q10288082	P245	"500304375"
Q103876	P245	"500355461"
Q1065	P245	"500354403"
Q1065414	P245	"500305440"
Q1066442	P245	"500021877"
Q106775	P245	"500346511"
Q1068072	P245	"500304017"
Q1068752	P245	"500312781"
Q11209	P245	"500257549"
Q1124	P245	"500238157"
Q11277	P245	"500303627"
Q1131966	P245	"500307870"
Q1132047	P245	"500005892"
Q1135990	P245	"500264307"
Q1136919	P245	"500304961"
Q1150105	P245	"500312913"
Q1155944	P245	"500312840"
Q11613	P245	"500444733"
Q11673	P245	"500254702"
Q11806	P245	"500353261"
Q11812	P245	"500017255"
Q11816	P245	"500353262"
Q11817	P245	"500490081"
Q11869	P245	"500341031"
Q1193547	P245	"500303574"
Q1195372	P245	"500284338"
Q12013217	P245	"500308292"
Q1204304	P245	"500304474"
Q1205550	P245	"500220636"
Q122553	P245	"500247094"
Q1229996	P245	"500308946"
Q1232180	P245	"500306876"
Q12325	P245	"500126241"
Q123885	P245	"500301966"
Q126188	P245	"500253666"
Q1273122	P245	"500057414"
Q1280275	P245	"500010803"
Q128633	P245	"500274878"
Q129421	P245	"500306299"
Q12971	P245	"500356624"
Q12976	P245	"500253094"
Q1299	P245	"500372404"
Q1311013	P245	"500018114"
Q131252	P245	"500304674"
Q131454	P245	"500312782"
Q131981	P245	"500353655"
Q133337	P245	"500354818"
Q1334582	P245	"500301408"
Q1335786	P245	"500331765"
Q13371	P245	"500312819"
Q134382	P245	"500065922"
Q1351247	P245	"500014698"
Q1353679	P245	"500312861"
Q1355327	P245	"500312952"
Q135687	P245	"500355345"
Q1357517	P245	"500312822"
Q1370307	P245	"500239486"
Q1373549	P245	"500239877"
Q1394	P245	"500321338"
Q1405	P245	"500058949"
Q1420038	P245	"500312936"
Q1422903	P245	"500308153"
Q1427	P245	"500022200"
Q1427783	P245	"500235374"
Q1430	P245	"500115701"
Q1434	P245	"500355670"
Q1464509	P245	"500217629"
Q149481	P245	"500312818"
Q1501676	P245	"500303934"
Q1508473	P245	"500017307"
Q1508559	P245	"500072645"
Q150966	P245	"500355697"
Q151510	P245	"500307995"
Q1517021	P245	"500312872"
Q152087	P245	"500299900"
Q152171	P245	"500305118"
Q1521725	P245	"500307555"
Q153006	P245	"500308110"
Q153522	P245	"500397697"
Q153586	P245	"500225098"
Q153978	P245	"500312814"
Q153987	P245	"500305396"
Q154287	P245	"500373138"
Q154804	P245	"500301325"
Q155354	P245	"500302608"
Q155596	P245	"500085678"
Q156187	P245	"500217400"
Q156572	P245	"500255537"
Q156737	P245	"500300876"
Q157808	P245	"500210203"
Q157808	P245	"500303345"
Q158158	P245	"500216178"
Q159895	P245	"500311309"
Q160236	P245	"500125157"
Q16059445	P245	"500081844"
Q161059	P245	"500217399"
Q1612068	P245	"500095931"
Q1617614	P245	"500432866"
Q161806	P245	"500310041"
Q162389	P245	"500183967"
Q16345	P245	"500129399"
Q163804	P245	"500212565"
Q165421	P245	"500242137"
Q165557	P245	"500372898"
Q16750458	P245	"500007492"
Q168000	P245	"500312795"
Q1681112	P245	"500129081"
Q168261	P245	"500356588"
Q168426	P245	"500303358"
Q168721	P245	"500341548"
Q1688497	P245	"500129183"
Q1700481	P245	"500225381"
Q170424	P245	"500305882"
Q170495	P245	"500300600"
Q170596	P245	"500234127"
Q174158	P245	"500256289"
Q1741629	P245	"500305329"
Q174710	P245	"500302155"
Q174880	P245	"500355339"
Q174908	P245	"500255687"
Q1750541	P245	"500445590"
Q1753535	P245	"500213543"
Q1755318	P245	"500302982"
Q1760791	P245	"500312933"
Q177847	P245	"500321727"
Q179036	P245	"500312921"
Q1793329	P245	"500021626"
Q182021	P245	"500122326"
Q185246	P245	"500312107"
Q1861687	P245	"500305586"
Q188740	P245	"500303609"
Q188771	P245	"500354028"
Q188772	P245	"500353213"
Q189081	P245	"500278146"
Q189108	P245	"500355715"
Q190388	P245	"500353939"
Q191789	P245	"500015029"
Q192990	P245	"500474270"
Q193426	P245	"500281414"
Q193727	P245	"500312820"
Q19673	P245	"500251202"
Q1979891	P245	"500301574"
Q19837	P245	"500333099"
Q199369	P245	"500333518"
Q2000129	P245	"500312927"
Q2001	P245	"500044493"
Q201492	P245	"500312824"
Q202735	P245	"500333514"
Q203437	P245	"500353940"
Q2038	P245	"500219118"
Q2038115	P245	"500226990"
Q2039	P245	"500404165"
Q206191	P245	"500091068"
Q2079957	P245	"500355762"
Q20808141	P245	"500309289"
Q20873280	P245	"500299976"
Q20875	P245	"500023438"
Q209152	P245	"500261423"
Q210081	P245	"500279110"
Q212639	P245	"500222642"
Q214341	P245	"500220639"
Q214867	P245	"500115983"
Q219563	P245	"500308857"
Q219615	P245	"500307480"
Q219694	P245	"500302434"
Q22686	P245	"500082105"
Q229190	P245	"500372058"
Q23	P245	"500126198"
Q23308	P245	"500301700"
Q233638	P245	"500088758"
Q233644	P245	"500355347"
Q23402	P245	"500310001"
Q234263	P245	"500336583"
Q23481	P245	"500079798"
Q23505	P245	"500216109"
Q23548	P245	"500265440"
Q23685	P245	"500238210"
Q239303	P245	"500304669"
Q2454564	P245	"500033141"
Q24576	P245	"500289642"
Q25649	P245	"500241287"
Q256507	P245	"500303271"
Q258464	P245	"500312848"
Q2594	P245	"500048713"
Q2636767	P245	"500066519"
Q2643	P245	"500290341"
Q266521	P245	"500079880"
Q26825	P245	"500257721"
Q2685	P245	"500330925"
Q268732	P245	"500026210"
Q269103	P245	"500268796"
Q2711171	P245	"500115889"
Q272994	P245	"500342024"
Q273263	P245	"500304397"
Q273334	P245	"500354348"
Q273518	P245	"500310122"
Q28028	P245	"500258831"
Q280856	P245	"500356596"
Q2833423	P245	"500253442"
Q2836665	P245	"500089642"
Q28367053	P245	"500081852"
Q29286	P245	"500304793"
Q294931	P245	"500213593"
Q298685	P245	"500116672"
Q299015	P245	"500312603"
Q299983	P245	"500351227"
Q3002407	P245	"500304529"
Q308439	P245	"500223271"
Q30875	P245	"500094070"
Q308963	P245	"500308453"
Q309331	P245	"500305685"
Q309350	P245	"500300175"
Q310192	P245	"500373115"
Q3110380	P245	"500174230"
Q311469	P245	"500354572"
Q312	P245	"500335330"
Q3124601	P245	"500018842"
Q312640	P245	"500124877"
Q3128016	P245	"500216946"
Q31519	P245	"500308208"
Q315348	P245	"500011651"
Q316901	P245	"500278925"
Q318254	P245	"500314846"
Q32120	P245	"500307876"
Q329852	P245	"500310024"
Q332342	P245	"500307629"
Q334051	P245	"500312825"
Q335112	P245	"500316131"
Q336424	P245	"500128951"
Q337266	P245	"500309388"
Q337526	P245	"500310040"
Q337579	P245	"500115631"
Q33866	P245	"500329597"
Q34190	P245	"500341907"
Q3430687	P245	"500278730"
Q34417	P245	"500253117"
Q344822	P245	"500348520"
Q34816	P245	"500250495"
Q34821	P245	"500337680"
Q34836	P245	"500373096"
Q35041	P245	"500475798"
Q352	P245	"500119333"
Q3546382	P245	"500119115"
Q35525	P245	"500312779"
Q35794	P245	"500247221"
Q361208	P245	"500242999"
Q36233	P245	"500249687"
Q3631316	P245	"500310884"
Q3687222	P245	"500305047"
Q372497	P245	"500122129"
Q3752663	P245	"500266245"
Q37693	P245	"500011421"
Q377579	P245	"500306982"
Q379914	P245	"500354195"
Q381238	P245	"500028450"
Q383568	P245	"500312177"
Q383764	P245	"500355449"
Q392189	P245	"500303137"
Q395578	P245	"500313881"
Q40025	P245	"500300146"
Q40213	P245	"500019359"
Q40912	P245	"500330862"
Q41142	P245	"500282661"
Q414034	P245	"500301003"
Q414110	P245	"500290978"
Q41506	P245	"500312883"
Q42305	P245	"500404078"
Q430682	P245	"500266827"
Q43203	P245	"500471290"
Q43353	P245	"500288125"
Q43452	P245	"500307092"
Q435267	P245	"500278475"
Q43689	P245	"500285185"
Q44091	P245	"500354832"
Q44281	P245	"500353757"
Q443540	P245	"500129164"
Q44361	P245	"500240441"
Q44490	P245	"500253096"
Q4616	P245	"500342163"
Q463281	P245	"500303688"
Q464903	P245	"500250579"
Q4669355	P245	"500104458"
Q470765	P245	"500010568"
Q472520	P245	"500449787"
Q4742987	P245	"500255819"
Q482907	P245	"500097166"
Q49108	P245	"500263221"
Q49112	P245	"500303558"
Q49133	P245	"500305147"
Q49212	P245	"500312940"
Q49213	P245	"500312867"
Q4938650	P245	"500180858"
Q495980	P245	"500472210"
Q4994309	P245	"500110094"
Q501758	P245	"500312849"
Q503415	P245	"500312906"
Q503424	P245	"500312856"
Q503473	P245	"500312894"
Q503577	P245	"500312944"
Q508242	P245	"500129140"
Q510324	P245	"500214534"
Q511446	P245	"500258138"
Q51466	P245	"500329883"
Q51519	P245	"500035064"
Q515858	P245	"500353284"
Q517	P245	"500122388"
Q517138	P245	"500008863"
Q518155	P245	"500263780"
Q51985	P245	"500299972"
Q524289	P245	"500257276"
Q525487	P245	"500031463"
Q525981	P245	"500300509"
Q5264	P245	"500103049"
Q52878	P245	"500318989"
Q52925	P245	"500082128"
Q52927	P245	"500320384"
Q53039	P245	"500335228"
Q539814	P245	"500254601"
Q54109	P245	"500312804"
Q546118	P245	"500247305"
Q549696	P245	"500309910"
Q551491	P245	"500014888"
Q55249	P245	"500095847"
Q55260	P245	"500336322"
Q55294	P245	"500250574"
Q5582	P245	"500115588"
Q562596	P245	"500344414"
Q5665601	P245	"500129092"
Q5671855	P245	"500306531"
Q568631	P245	"500486587"
Q57280	P245	"500021722"
Q575795	P245	"500121152"
Q577906	P245	"500003458"
Q5816	P245	"500322044"
Q590227	P245	"500189840"
Q591115	P245	"500307464"
Q5933	P245	"500302052"
Q598992	P245	"500324427"
Q599316	P245	"500231720"
Q599439	P245	"500109702"
Q60080	P245	"500316836"
Q60438	P245	"500353909"
Q607	P245	"500274366"
Q608427	P245	"500237385"
Q61423	P245	"500318046"
Q622664	P245	"500312845"
Q624008	P245	"500311462"
Q6294	P245	"500237450"
Q64021263	P245	"500107656"
Q66149	P245	"500023792"
Q66149	P245	"500358178"
Q6682279	P245	"500213200"
Q670897	P245	"500312896"
Q674113	P245	"500278690"
Q676555	P245	"500349636"
Q6774355	P245	"500069631"
Q687997	P245	"500054335"
Q690169	P245	"500013500"
Q691402	P245	"500282775"
Q692381	P245	"500305933"
Q708204	P245	"500129093"
Q7184	P245	"500225812"
Q7245	P245	"500020427"
Q725816	P245	"500118650"
Q73094	P245	"500309863"
Q7322	P245	"500237956"
Q7354368	P245	"500311479"
Q737533	P245	"500059708"
Q738258	P245	"500312908"
Q739627	P245	"500312098"
Q745967	P245	"500309846"
Q74651	P245	"500320012"
Q752663	P245	"500306318"
Q7542	P245	"500354776"
Q75612	P245	"500340692"
Q76	P245	"500404040"
Q766145	P245	"500300173"
Q768224	P245	"500312202"
Q7686513	P245	"500041099"
Q7742	P245	"500122256"
Q7809	P245	"500218573"
Q7817	P245	"500215314"
Q7825	P245	"500292980"
Q7842	P245	"500312868"
Q789915	P245	"500311440"
Q8007	P245	"500354971"
Q8018	P245	"500104317"
Q8022	P245	"500307057"
Q80504	P245	"500220646"
Q808435	P245	"500071409"
Q812155	P245	"500226843"
Q814779	P245	"500303562"
Q815432	P245	"500309692"
Q83235	P245	"500281594"
Q835960	P245	"500312838"
Q836469	P245	"500305112"
Q838330	P245	"500302305"
Q838691	P245	"500262724"
Q8479	P245	"500288795"
Q855	P245	"500256111"
Q856640	P245	"500303417"
Q8605	P245	"500339429"
Q864855	P245	"500312929"
Q8704	P245	"500025598"
Q876701	P245	"500072778"
Q877925	P245	"500286323"
Q896685	P245	"500253409"
Q902022	P245	"500029448"
Q91	P245	"500344436"
Q91823	P245	"500066005"
Q919115	P245	"500123882"
Q937267	P245	"500486586"
Q941404	P245	"500243398"
Q9439	P245	"500022428"
Q945876	P245	"500253165"
Q953345	P245	"500306510"
Q9545	P245	"500260665"
Q9588	P245	"500475822"
Q9592	P245	"500241849"
Q961495	P245	"500078391"
Q9682	P245	"500233087"
Q9696	P245	"500262206"
Q972381	P245	"500247140"
Q97416	P245	"500324997"
Q979511	P245	"500274474"
Q9916	P245	"500030880"
